,0,1
0,0,-0.4019
1,1,0.3384
2,2,-0.25
3,3,0.0
4,4,0.695
5,5,-0.5859
6,6,-0.434
7,7,0.8437
8,8,0.0
9,9,-0.6256
10,10,-0.4019
11,11,0.25
12,12,-0.6547
13,13,0.5561
14,14,-0.4019
15,15,0.3089
16,16,0.25
17,17,-0.8372
18,18,0.5267
19,19,-0.8592
20,20,0.0
21,21,0.0
22,22,0.8467
23,23,0.7227
24,24,-0.8924
25,25,-0.7964
26,26,-0.0202
27,27,0.7003
28,28,0.7378
29,29,0.8903
30,30,-0.964
31,31,-0.636
32,32,0.9468
33,33,-0.6191
34,34,-0.8449
35,35,-0.3412
36,36,-0.383
37,37,-0.5419
38,38,-0.5001
39,39,0.8151
40,40,-0.296
41,41,-0.6425
42,42,0.0
43,43,0.541
44,44,0.3271
45,45,-0.9704
46,46,-0.6124
47,47,0.2732
48,48,-0.7944
49,49,-0.9216
50,50,-0.3685
51,51,-0.4019
52,52,-0.1884
53,53,0.9146
54,54,0.4767
55,55,0.8153
56,56,-0.4282
57,57,-0.6206
58,58,-0.2201
59,59,-0.4404
60,60,0.8573
61,61,-0.6794
62,62,-0.8365
63,63,-0.5548
64,64,0.8172
65,65,-0.4678
66,66,0.555
67,67,-0.0961
68,68,0.8873
69,69,0.7579
70,70,0.015
71,71,0.743
72,72,-0.7227
73,73,0.2023
74,74,0.0258
75,75,-0.4902
76,76,-0.1101
77,77,0.05
78,78,0.9851
79,79,0.8929
80,80,0.3871
81,81,0.6798
82,82,-0.2387
83,83,0.8401
84,84,0.8623
85,85,0.092
86,86,0.872
87,87,-0.6599
88,88,-0.3506
89,89,0.4033
90,90,0.8176
91,91,0.1664
92,92,-0.4019
93,93,0.7269
94,94,-0.6652
95,95,0.8593
96,96,-0.9338
97,97,0.3689
98,98,-0.9224
99,99,-0.9692
100,100,0.0772
101,101,-0.2263
102,102,-0.128
103,103,-0.6012
104,104,0.5574
105,105,0.4854
106,106,-0.3612
107,107,0.0701
108,108,-0.5664
109,109,-0.7902
110,110,-0.9102
111,111,-0.2732
112,112,-0.2762
113,113,0.8987
114,114,0.3089
115,115,-0.0516
116,116,-0.0644
117,117,0.5974
118,118,-0.5994
119,119,0.5574
120,120,0.504
121,121,0.8002
122,122,-0.9231
123,123,-0.128
124,124,0.0387
125,125,0.662
126,126,0.0
127,127,-0.5256
128,128,-0.2878
129,129,0.0
130,130,0.5037
131,131,-0.7884
132,132,-0.2789
133,133,0.0
134,134,-0.0822
135,135,-0.9058
136,136,0.4312
137,137,0.7391
138,138,-0.8201
139,139,0.25
140,140,-0.4939
141,141,0.6369
142,142,0.0
143,143,-0.5017
144,144,0.4404
145,145,-0.9619
146,146,0.1154
147,147,-0.5371
148,148,-0.0258
149,149,0.4449
150,150,-0.4019
151,151,-0.8967
152,152,-0.0258
153,153,0.4588
154,154,-0.9584
155,155,0.7976
156,156,0.4019
157,157,-0.5994
158,158,0.7351
159,159,0.0951
160,160,0.0
161,161,-0.1779
162,162,-0.1877
163,163,-0.2263
164,164,-0.3931
165,165,0.0
166,166,-0.4019
167,167,0.0422
168,168,0.7311
169,169,-0.9393
170,170,0.8599
171,171,-0.9221
172,172,0.6808
173,173,0.0
174,174,0.024
175,175,-0.7579
176,176,0.4588
177,177,0.1901
178,178,-0.9781
179,179,-0.7096
180,180,0.9403
181,181,0.8324
182,182,-0.6916
183,183,-0.743
184,184,-0.8258
185,185,0.1154
186,186,0.7351
187,187,0.0
188,188,-0.9596
189,189,-0.6901
190,190,0.3612
191,191,0.8384
192,192,0.2263
193,193,0.3883
194,194,0.8481
195,195,0.2023
196,196,0.9231
197,197,0.3919
198,198,0.1655
199,199,0.9436
200,200,-0.4019
201,201,-0.9486
202,202,-0.5719
203,203,-0.6705
204,204,0.6808
205,205,0.9144
206,206,0.6037
207,207,-0.446
208,208,-0.5719
209,209,0.7195
210,210,-0.5705
211,211,-0.6364
212,212,-0.4854
213,213,-0.6642
214,214,-0.0644
215,215,-0.1531
216,216,0.0
217,217,-0.9049
218,218,-0.0
219,219,-0.34
220,220,-0.3064
221,221,-0.8402
222,222,-0.0534
223,223,0.0258
224,224,-0.4245
225,225,0.0
226,226,0.1779
227,227,-0.7992
228,228,-0.0634
229,229,0.8683
230,230,-0.4019
231,231,0.0
232,232,0.5267
233,233,0.3182
234,234,0.0
235,235,-0.4767
236,236,-0.5106
237,237,0.7003
238,238,0.0561
239,239,0.2023
240,240,0.6369
241,241,0.6908
242,242,0.0
243,243,-0.5106
244,244,0.7227
245,245,0.0
246,246,0.2732
247,247,-0.9538
248,248,-0.4019
249,249,-0.128
250,250,-0.1779
251,251,-0.1779
252,252,-0.9109
253,253,0.0
254,254,-0.4019
255,255,-0.4019
256,256,0.4951
257,257,-0.681
258,258,0.7244
259,259,-0.1027
260,260,0.3612
261,261,-0.4939
262,262,-0.2732
263,263,0.8555
264,264,0.0
265,265,0.3612
266,266,0.0
267,267,-0.4019
268,268,-0.8206
269,269,0.4497
270,270,0.6486
271,271,-0.5994
272,272,0.0
273,273,-0.5859
274,274,-0.4939
275,275,0.9686
276,276,-0.7579
277,277,0.4228
278,278,-0.1027
279,279,0.0
280,280,-0.9873
281,281,-0.8187
282,282,-0.4187
283,283,0.6486
284,284,0.0
285,285,-0.4588
286,286,-0.3343
287,287,-0.0387
288,288,-0.2535
289,289,-0.6322
290,290,0.09
291,291,0.3603
292,292,-0.3944
293,293,0.128
294,294,-0.0222
295,295,0.0
296,296,0.296
297,297,0.7003
298,298,-0.1154
299,299,0.128
300,300,-0.296
301,301,0.0
302,302,-0.2263
303,303,0.0
304,304,0.5574
305,305,0.1154
306,306,0.5719
307,307,0.7199
308,308,-0.2942
309,309,-0.1154
310,310,-0.4588
311,311,-0.4215
312,312,-0.7579
313,313,0.0772
314,314,-0.4779
315,315,0.3818
316,316,0.1548
317,317,0.5423
318,318,0.672
319,319,-0.4939
320,320,0.8091
321,321,0.7184
322,322,-0.8816
323,323,0.296
324,324,0.5371
325,325,0.143
326,326,0.0
327,327,0.4215
328,328,0.0
329,329,0.4588
330,330,0.0516
331,331,0.0
332,332,0.2705
333,333,-0.4019
334,334,0.5859
335,335,-0.7579
336,336,0.4367
337,337,-0.34
338,338,0.4464
339,339,0.0
340,340,0.6249
341,341,-0.128
342,342,-0.9407
343,343,-0.8588
344,344,0.0
345,345,0.359
346,346,-0.7783
347,347,-0.3595
348,348,-0.5267
349,349,0.0
350,350,-0.3818
351,351,-0.296
352,352,0.0
353,353,0.0
354,354,-0.6908
355,355,-0.7569
356,356,0.4939
357,357,0.34
358,358,0.8402
359,359,-0.2398
360,360,-0.296
361,361,-0.4583
362,362,0.1779
363,363,0.7636
364,364,-0.2023
365,365,0.69
366,366,-0.4019
367,367,-0.4939
368,368,-0.6486
369,369,-0.4767
370,370,0.5569
371,371,0.8125
372,372,0.0
373,373,-0.5859
374,374,0.5106
375,375,0.0
376,376,-0.8748
377,377,-0.2263
378,378,-0.3612
379,379,0.128
380,380,0.4671
381,381,0.8402
382,382,0.4767
383,383,0.048
384,384,-0.9294
385,385,-0.1027
386,386,0.4404
387,387,-0.3384
388,388,-0.1436
389,389,0.7469
390,390,0.0
391,391,0.1779
392,392,0.0772
393,393,0.0
394,394,-0.5536
395,395,0.0
396,396,0.0
397,397,0.0
398,398,-0.4939
399,399,-0.5364
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.5363
404,404,0.6369
405,405,0.0
406,406,0.3299
407,407,-0.5941
408,408,-0.0516
409,409,0.5719
410,410,0.0
411,411,-0.9587
412,412,0.4374
413,413,0.0
414,414,-0.3578
415,415,-0.128
416,416,0.0
417,417,0.631
418,418,0.0
419,419,0.8047
420,420,0.5883
421,421,0.2263
422,422,0.0
423,423,0.0
424,424,0.9158
425,425,-0.836
426,426,-0.9153
427,427,0.4588
428,428,0.0
429,429,0.0
430,430,0.6264
431,431,-0.88
432,432,-0.4075
433,433,-0.3182
434,434,0.0
435,435,0.0
436,436,0.3818
437,437,0.2263
438,438,0.1381
439,439,0.0
440,440,0.0
441,441,-0.5423
442,442,-0.8393
443,443,0.34
444,444,0.7593
445,445,0.7351
446,446,0.0
447,447,0.0
448,448,-0.3421
449,449,0.2732
450,450,0.2058
451,451,-0.2732
452,452,0.2263
453,453,0.5859
454,454,-0.7757
455,455,0.0
456,456,-0.1531
457,457,-0.8658
458,458,0.4228
459,459,0.7635
460,460,-0.2023
461,461,-0.8318
462,462,-0.1306
463,463,0.0
464,464,0.5994
465,465,-0.7034
466,466,0.5423
467,467,0.25
